ID	TYPE	LEN	PW1_NAME	PW1_ROUTE	PW1_ROUTE_GENES
1	P1	3	Adherens junction	['n6', 'n59', 'n367']	['CDH1', 'CTNNB1', 'TCF7L2', 'TCF7', 'TCF7L1', 'LEF1']
2	P1	4	Adherens junction	['n7', 'n68', 'n45', 'n44']	['CDH1', 'CTNNB1', 'CTNNA1', 'CTNNA2', 'CTNNA3', 'ACTB', 'ACTG1']
3	P1	3	Adherens junction	['n25', 'n59', 'n367']	['IGF1R', 'CTNNB1', 'TCF7L2', 'TCF7', 'TCF7L1', 'LEF1']
4	P1	3	Adherens junction	['n72', 'n56', 'n44']	['NECTIN3', 'NECTIN1', 'NECTIN2', 'NECTIN4', 'AFDN', 'ACTB', 'ACTG1']
5	P1	7	Adherens junction	['n72', 'n71', 'n74', 'n42', 'n41', 'n359', 'n44']	['NECTIN3', 'NECTIN1', 'NECTIN2', 'NECTIN4', 'SRC', 'FARP2', 'CDC42', 'RAC1', 'RAC2', 'RAC3', 'WASL', 'WAS', 'WASL', 'IQGAP1', 'WASF2', 'WASF3', 'WASF1', 'BAIAP2', 'ACTB', 'ACTG1']
6	P1	3	Adherens junction	['n360', 'n364', 'n367']	['TGFBR1', 'TGFBR2', 'FGFR1', 'SMAD2', 'SMAD3', 'SMAD4', 'EP300', 'CREBBP', 'TCF7L2', 'TCF7', 'TCF7L1', 'LEF1']
7	P1	4	Adherens junction	['n361', 'n368', 'n59', 'n367']	['EGFR', 'ERBB2', 'MET', 'FER', 'SRC', 'FYN', 'CTNNB1', 'TCF7L2', 'TCF7', 'TCF7L1', 'LEF1']
8	P1	3	Adherens junction	['n361', 'n19', 'n369']	['EGFR', 'ERBB2', 'MET', 'MAPK1', 'MAPK3', 'SNAI2', 'SNAI1']
9	P1	3	Adherens junction	['n361', 'n59', 'n367']	['EGFR', 'ERBB2', 'MET', 'CTNNB1', 'TCF7L2', 'TCF7', 'TCF7L1', 'LEF1']
10	P1	4	Adherens junction	['n370', 'n68', 'n45', 'n44']	['ACP1', 'PTPRM', 'PTPRF', 'PTPRB', 'CTNNB1', 'CTNNA1', 'CTNNA2', 'CTNNA3', 'ACTB', 'ACTG1']
11	P1	3	Adipocytokine signaling pathway	['n24', 'n42', 'n32']	['LEPR', 'JAK2', 'STAT3']
12	P1	5	Adipocytokine signaling pathway	['n30', 'n36', 'n29', 'n5', 'n4']	['TNFRSF1B', 'TRAF2', 'CHUK', 'IKBKB', 'IKBKG', 'NFKBIA', 'NFKBIB', 'NFKBIE', 'NFKB1', 'RELA']
13	P1	6	Adipocytokine signaling pathway	['n38', 'n41', 'n36', 'n29', 'n5', 'n4']	['TNFRSF1A', 'TRADD', 'TRAF2', 'CHUK', 'IKBKB', 'IKBKG', 'NFKBIA', 'NFKBIB', 'NFKBIE', 'NFKB1', 'RELA']
14	P1	9	AMPK signaling pathway	['n4', 'n8', 'n6', 'n9', 'n7', 'n5', 'n105', 'n92', 'n46', 'n63']	['INSR', 'IRS1', 'IRS4', 'IRS2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PDPK1', 'AKT3', 'AKT1', 'AKT2', 'TSC2', 'TSC1', 'RHEB', 'MTOR', 'RPTOR', 'AKT1S1', 'PPARG']
15	P1	9	AMPK signaling pathway	['n14', 'n8', 'n6', 'n9', 'n7', 'n5', 'n105', 'n92', 'n46', 'n63']	['IGF1R', 'IRS1', 'IRS4', 'IRS2', 'PIK3CA', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'PIK3R2', 'PIK3R3', 'C05981', 'PDPK1', 'AKT3', 'AKT1', 'AKT2', 'TSC2', 'TSC1', 'RHEB', 'MTOR', 'RPTOR', 'AKT1S1', 'PPARG']
16	P1	3	AMPK signaling pathway	['n83', 'n1', 'n51']	['ADRA1A', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'HNF4A']
17	P1	3	AMPK signaling pathway	['n83', 'n1', 'n25']	['ADRA1A', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'PPARGC1A']
18	P1	6	AMPK signaling pathway	['n83', 'n1', 'n105', 'n92', 'n46', 'n63']	['ADRA1A', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'TSC2', 'TSC1', 'RHEB', 'MTOR', 'RPTOR', 'AKT1S1', 'PPARG']
19	P1	3	AMPK signaling pathway	['n83', 'n1', 'n67']	['ADRA1A', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'CRTC2']
20	P1	4	AMPK signaling pathway	['n83', 'n1', 'n46', 'n63']	['ADRA1A', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'MTOR', 'RPTOR', 'AKT1S1', 'PPARG']
21	P1	3	AMPK signaling pathway	['n83', 'n1', 'n55']	['ADRA1A', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'SREBF1']
22	P1	4	AMPK signaling pathway	['n84', 'n85', 'n1', 'n51']	['LEPR', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'HNF4A']
23	P1	4	AMPK signaling pathway	['n84', 'n85', 'n1', 'n25']	['LEPR', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'PPARGC1A']
24	P1	7	AMPK signaling pathway	['n84', 'n85', 'n1', 'n105', 'n92', 'n46', 'n63']	['LEPR', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'TSC2', 'TSC1', 'RHEB', 'MTOR', 'RPTOR', 'AKT1S1', 'PPARG']
25	P1	4	AMPK signaling pathway	['n84', 'n85', 'n1', 'n67']	['LEPR', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'CRTC2']
26	P1	5	AMPK signaling pathway	['n84', 'n85', 'n1', 'n46', 'n63']	['LEPR', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'MTOR', 'RPTOR', 'AKT1S1', 'PPARG']
27	P1	4	AMPK signaling pathway	['n84', 'n85', 'n1', 'n55']	['LEPR', 'CAMKK2', 'PRKAG2', 'PRKAG3', 'PRKAA1', 'PRKAA2', 'PRKAB1', 'PRKAB2', 'PRKAG1', 'SREBF1']
