Ligand,Receptor,RouteNumber,Combine
Tgfb1,TGFBR1,6,TGFB1_TGFBR1_6
Tgfb1,TGFBR2,6,TGFB1_TGFBR2_6
Tgfb2,TGFBR1,6,TGFB2_TGFBR1_6
Tgfb2,TGFBR2,6,TGFB2_TGFBR2_6
Tgfb3,TGFBR1,6,TGFB3_TGFBR1_6
Tgfb3,TGFBR2,6,TGFB3_TGFBR2_6
Tgfb1,TGFBR2,6,TGFB1_TGFBR2_6
Tgfb1,TGFBR2,6,TGFB1_TGFBR2_6
Tgfb2,TGFBR2,6,TGFB2_TGFBR2_6
Tgfb2,TGFBR2,6,TGFB2_TGFBR2_6
Tgfb3,TGFBR2,6,TGFB3_TGFBR2_6
Tgfb3,TGFBR2,6,TGFB3_TGFBR2_6
Tgfb1,TGFBR1,6,TGFB1_TGFBR1_6
Tgfb1,TGFBR2,6,TGFB1_TGFBR2_6
Tgfb2,TGFBR1,6,TGFB2_TGFBR1_6
Tgfb2,TGFBR2,6,TGFB2_TGFBR2_6
Tgfb3,TGFBR1,6,TGFB3_TGFBR1_6
Tgfb3,TGFBR2,6,TGFB3_TGFBR2_6
Gdf11,TGFBR1,6,GDF11_TGFBR1_6
Gdf11,TGFBR1,6,GDF11_TGFBR1_6
Gdf15,TGFBR2,6,GDF15_TGFBR2_6
Mstn,TGFBR1,6,MSTN_TGFBR1_6
Mstn,TGFBR1,6,MSTN_TGFBR1_6
Egf,EGFR,7,EGF_EGFR_7
Egf,EGFR,8,EGF_EGFR_8
Egf,EGFR,9,EGF_EGFR_9
Egf,EGFR,54,EGF_EGFR_54
Egf,EGFR,55,EGF_EGFR_55
Egf,EGFR,56,EGF_EGFR_56
Egf,EGFR,57,EGF_EGFR_57
Egf,EGFR,58,EGF_EGFR_58
Egf,EGFR,59,EGF_EGFR_59
Egf,EGFR,118,EGF_EGFR_118
Egf,EGFR,125,EGF_EGFR_125
Egf,EGFR,128,EGF_EGFR_128
Egf,EGFR,270,EGF_EGFR_270
Egf,EGFR,271,EGF_EGFR_271
Egf,EGFR,272,EGF_EGFR_272
Egf,EGFR,281,EGF_EGFR_281
Egf,EGFR,7,EGF_EGFR_7
Egf,ERBB2,7,EGF_ERBB2_7
Egf,EGFR,8,EGF_EGFR_8
Egf,ERBB2,8,EGF_ERBB2_8
Egf,EGFR,9,EGF_EGFR_9
Egf,ERBB2,9,EGF_ERBB2_9
Egf,EGFR,54,EGF_EGFR_54
Egf,EGFR,55,EGF_EGFR_55
Egf,EGFR,56,EGF_EGFR_56
Egf,EGFR,57,EGF_EGFR_57
Egf,EGFR,58,EGF_EGFR_58
Egf,EGFR,59,EGF_EGFR_59
Egf,EGFR,118,EGF_EGFR_118
Egf,EGFR,125,EGF_EGFR_125
Egf,EGFR,128,EGF_EGFR_128
Egf,EGFR,270,EGF_EGFR_270
Egf,EGFR,271,EGF_EGFR_271
Egf,EGFR,272,EGF_EGFR_272
Egf,EGFR,281,EGF_EGFR_281
Tgfa,EGFR,7,TGFA_EGFR_7
Tgfa,EGFR,8,TGFA_EGFR_8
Tgfa,EGFR,9,TGFA_EGFR_9
Tgfa,EGFR,54,TGFA_EGFR_54
Tgfa,EGFR,55,TGFA_EGFR_55
Tgfa,EGFR,56,TGFA_EGFR_56
Tgfa,EGFR,57,TGFA_EGFR_57
Tgfa,EGFR,58,TGFA_EGFR_58
Tgfa,EGFR,59,TGFA_EGFR_59
Tgfa,EGFR,118,TGFA_EGFR_118
Tgfa,EGFR,125,TGFA_EGFR_125
Tgfa,EGFR,128,TGFA_EGFR_128
Tgfa,EGFR,270,TGFA_EGFR_270
Tgfa,EGFR,271,TGFA_EGFR_271
Tgfa,EGFR,272,TGFA_EGFR_272
Tgfa,EGFR,281,TGFA_EGFR_281
Tgfa,EGFR,7,TGFA_EGFR_7
Tgfa,ERBB2,7,TGFA_ERBB2_7
Tgfa,EGFR,8,TGFA_EGFR_8
Tgfa,ERBB2,8,TGFA_ERBB2_8
Tgfa,EGFR,9,TGFA_EGFR_9
Tgfa,ERBB2,9,TGFA_ERBB2_9
Tgfa,EGFR,54,TGFA_EGFR_54
Tgfa,EGFR,55,TGFA_EGFR_55
Tgfa,EGFR,56,TGFA_EGFR_56
Tgfa,EGFR,57,TGFA_EGFR_57
Tgfa,EGFR,58,TGFA_EGFR_58
Tgfa,EGFR,59,TGFA_EGFR_59
Tgfa,EGFR,118,TGFA_EGFR_118
Tgfa,EGFR,125,TGFA_EGFR_125
Tgfa,EGFR,128,TGFA_EGFR_128
Tgfa,EGFR,270,TGFA_EGFR_270
Tgfa,EGFR,271,TGFA_EGFR_271
Tgfa,EGFR,272,TGFA_EGFR_272
Tgfa,EGFR,281,TGFA_EGFR_281
Areg,EGFR,7,AREG_EGFR_7
Areg,EGFR,8,AREG_EGFR_8
Areg,EGFR,9,AREG_EGFR_9
Areg,EGFR,54,AREG_EGFR_54
Areg,EGFR,55,AREG_EGFR_55
Areg,EGFR,56,AREG_EGFR_56
Areg,EGFR,57,AREG_EGFR_57
Areg,EGFR,58,AREG_EGFR_58
Areg,EGFR,59,AREG_EGFR_59
Areg,EGFR,118,AREG_EGFR_118
Areg,EGFR,125,AREG_EGFR_125
Areg,EGFR,128,AREG_EGFR_128
Areg,EGFR,270,AREG_EGFR_270
Areg,EGFR,271,AREG_EGFR_271
Areg,EGFR,272,AREG_EGFR_272
Areg,EGFR,281,AREG_EGFR_281
Areg,EGFR,7,AREG_EGFR_7
